Company,Recommendations
A,6
AAL,3.10
AAP,2.20
AAPL,1.90
ABBV,1.90
ABC,2.20
ABMD,2.40
ABT,2.00
ACN,6
ADBE,1.80
ADI,1.90
ADM,1.90
ADP,3.00
ADSK,2.10
AEE,2.20
AEP,2.30
AES,1.70
AFL,2.70
AIG,2.20
AIZ,1.70
AJG,2.20
AKAM,2.20
ALB,2.40
ALGN,2.00
ALK,1.80
ALL,2.50
ALLE,2.50
AMAT,2.00
AMCR,3.00
AMD,2.30
AME,2.20
AMGN,2.60
AMP,1.80
AMT,2.20
AMZN,1.70
ANET,2.40
ANSS,2.40
ANTM,2.00
AON,2.80
AOS,2.60
APA,2.40
APD,2.30
APH,2.20
APTV,2.30
ARE,1.70
ATO,2.60
ATVI,2.00
AVB,2.60
AVGO,1.90
AVY,2.20
AWK,2.70
AXP,2.40
AZO,2.30
BA,6
BAC,2.40
BAX,2.20
BBWI,6
BBY,2.50
BDX,2.20
BEN,2.80
BF-B,3.20
BIIB,2.30
BIO,1.60
BK,2.10
BKNG,2.50
BKR,2.00
BLK,1.80
BLL,2.50
BMY,2.10
BR,2.60
BRK-B,2.40
BRO,2.50
BSX,1.80
BWA,2.50
BXP,2.60
C,2.10
CAG,2.70
CAH,2.80
CARR,2.30
CAT,2.60
CB,6
CBOE,2.40
CBRE,2.10
CCI,2.30
CCL,6
CDAY,6
CDNS,2.30
CDW,2.10
CE,2.20
CERN,2.40
CF,2.20
CFG,2.00
CHD,2.80
CHRW,2.80
CHTR,2.40
CI,2.10
CINF,2.40
CL,2.80
CLX,3.20
CMA,2.80
CMCSA,2.00
CME,2.50
CMG,2.10
CMI,2.30
CMS,2.40
CNC,1.90
CNP,2.00
COF,2.10
COO,2.30
COP,1.90
COST,2.20
CPB,3.10
CPRT,1.80
CRL,1.80
CRM,1.80
CSCO,2.30
CSX,2.10
CTAS,2.10
CTLT,1.70
CTRA,2.30
CTSH,2.40
CTVA,2.30
CTXS,2.90
CVS,2.10
CVX,2.20
CZR,1.90
D,2.20
DAL,2.20
DD,2.20
DE,2.20
DFS,2.10
DG,2.00
DGX,2.10
DHI,1.80
DHR,1.90
DIS,2.00
DISCA,2.60
DISCK,3.00
DISH,2.40
DLR,2.10
DLTR,2.40
DOV,2.40
DOW,2.70
DPZ,2.40
DRE,6
DRI,2.20
DTE,2.30
DUK,2.60
DVA,3.10
DVN,1.80
DXC,2.40
DXCM,1.80
EA,2.10
EBAY,2.50
ECL,2.70
ED,3.60
